it global_time dt rho m1 m2 e r_e test D v1 v2 p Trad Tgas Mdot OPAL CAK CAK2 lambda Edd Gamma Lum F1 F2 gradE c1 c2 c3 c4 n1 n2 n3 n4 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
  198098  1.00000000E+01  2.12301004E-05   4.74550008E-03  1.59740704E-03  2.30589831E-03  2.16033184E-03  5.55786247E-03  0.00000000E+00  7.56946938E+01  3.88611938E+00  1.68098344E-01  8.90995390E-06  1.22187341E+05  2.00655517E+05  4.96283796E-05  1.73552296E+00  3.06691353E+01  6.61556095E+00  3.03292803E-01  3.93006503E-01  5.46429209E+01  8.78584052E+05  3.06950478E-01 -1.46310513E-02 -1.23932418E-02   0.00000000E+00  1.56250000E-01  5.21484375E-01  3.22265625E-01        0      20     267     660 |   0.00E+00  0.00E+00  3.60E+04  1.18E+02  9.91E+03  2.75E+01
  211451  1.05000000E+01  3.55425535E-05   5.35554406E-03  1.86422325E-03  3.44625250E-03  2.63070816E-03  5.33425476E-03  0.00000000E+00  6.87905077E+01  3.27371528E+00  2.29297519E-01  1.11952562E-05  1.10398087E+05  1.81946028E+05  4.65349615E-05  1.62990433E+00  2.85108890E+01  6.41011091E+00  3.03921430E-01  3.90655205E-01  3.28690737E+01  6.09141912E+05  3.18244042E-01  7.51035349E-03 -2.32850382E-02   0.00000000E+00  2.10937500E-01  4.98046875E-01  2.91015625E-01        0      27     255     596 |   0.00E+00  0.00E+00  2.98E+04  1.10E+02  6.64E+03  1.75E+01
  222452  1.10000000E+01  4.86630415E-05   6.15463005E-03  1.74661018E-03  3.91460409E-03  2.42666583E-03  3.88217155E-03  0.00000000E+00  8.35208696E+01  2.95620041E+00  1.98273742E-01  1.18079720E-05  9.86395525E+04  1.25452395E+05  4.03724657E-05  1.57294469E+00  2.70343604E+01  6.91576801E+00  2.94909361E-01  4.10523203E-01  2.09119532E+01  3.83187633E+05  1.89497340E-01  2.46792223E-04 -1.76736160E-02   0.00000000E+00  2.65625000E-01  4.90234375E-01  2.44140625E-01        0      34     251     500 |   0.00E+00  0.00E+00  2.99E+04  9.81E+01  4.32E+03  1.08E+01
  231398  1.15000000E+01  5.05045216E-05   6.26002709E-03  1.50787686E-03  3.49852836E-03  1.99003970E-03  5.15505355E-03  0.00000000E+00  7.09190060E+01  2.44076877E+00  2.41702993E-01  1.24044378E-05  1.07141751E+05  1.65685960E+05  3.70890185E-05  1.65124330E+00  2.51850113E+01  6.17688386E+00  2.99528518E-01  4.00096195E-01  2.13789632E+01  4.53424467E+05  2.44245614E-01 -2.00211170E-02 -1.88337101E-02   0.00000000E+00  4.06250000E-01  3.86718750E-01  2.07031250E-01        0      52     198     424 |   0.00E+00  0.00E+00  3.07E+04  8.42E+01  3.48E+03  8.21E+00
  242580  1.20000000E+01  5.52818075E-05   6.93771671E-03  1.34229384E-03  4.26204317E-03  2.51215703E-03  4.79170716E-03  0.00000000E+00  6.22028722E+01  2.54051334E+00  3.30644871E-01  1.35900261E-05  1.12802627E+05  1.64573840E+05  4.44149971E-05  1.71030636E+00  2.51776984E+01  4.99533009E+00  3.10886911E-01  3.75973541E-01  2.81072581E+01  5.80093884E+05  2.68773761E-01 -1.62679435E-03 -1.65406850E-02   0.00000000E+00  2.96875000E-01  4.49218750E-01  2.53906250E-01        0      38     230     520 |   0.00E+00  0.00E+00  3.90E+04  9.85E+01  2.92E+03  6.49E+00
  253755  1.25000000E+01  3.62874357E-05   6.33472084E-03  1.58242668E-03  3.90852833E-03  2.53173123E-03  9.63576002E-03  0.00000000E+00  7.76860233E+01  2.92530935E+00  3.12862803E-01  1.51827657E-05  1.22073860E+05  1.92146420E+05  4.67383860E-05  1.56746232E+00  2.83140807E+01  5.75952291E+00  3.02818131E-01  3.92637174E-01  4.27756888E+01  8.62741662E+05  5.92679297E-01 -4.07625539E-02 -3.31620993E-02   0.00000000E+00  2.50000000E-01  4.49218750E-01  3.00781250E-01        0      32     230     616 |   0.00E+00  0.00E+00  3.38E+04  1.10E+02  5.72E+03  1.19E+01
  276985  1.30000000E+01  3.45280292E-05   6.67312231E-03  8.49832421E-04  3.31265403E-03  1.94513817E-03  4.95088552E-03  0.00000000E+00  8.92562462E+01  3.20163845E+00  3.04460126E-01  1.32962348E-05  1.13753296E+05  1.84348833E+05  4.51208542E-05  1.71951477E+00  2.78219092E+01  6.37370831E+00  3.01861561E-01  3.96700177E-01  3.85257656E+01  6.51198331E+05  2.61980053E-01 -6.96846536E-03 -1.79928749E-02   0.00000000E+00  1.87500000E-01  5.01953125E-01  3.10546875E-01        0      24     257     636 |   0.00E+00  0.00E+00  3.28E+04  1.15E+02  6.48E+03  1.26E+01
  287442  1.35000000E+01  5.89017017E-05   5.93946939E-03  9.72803946E-04  2.38539931E-03  1.62294745E-03  6.16349316E-03  0.00000000E+00  7.65700787E+01  2.78671563E+00  2.45877221E-01  1.37491783E-05  1.10664789E+05  1.67709391E+05  4.37675423E-05  1.58527207E+00  2.44665757E+01  5.38850109E+00  3.05351378E-01  3.87700116E-01  2.54599134E+01  6.20929698E+05  4.51682003E-01 -1.66428431E-02 -3.85999621E-02   6.25000000E-02  2.42187500E-01  3.88671875E-01  3.06640625E-01        2      31     199     628 |   0.00E+00  0.00E+00  3.08E+04  1.08E+02  3.79E+03  6.84E+00
  303912  1.40000000E+01  4.17982903E-05   4.55293717E-03  1.29626761E-03  1.82318573E-03  1.63068574E-03  9.81767886E-03  0.00000000E+00  7.03986416E+01  3.13654001E+00  2.59569735E-01  1.06128730E-05  1.29821522E+05  2.36274947E+05  4.33520277E-05  1.54500656E+00  2.55063539E+01  4.69391803E+00  3.04781556E-01  3.88897579E-01  5.00611036E+01  1.06878437E+06  6.39622203E-01  7.39175868E-03 -3.14450501E-02   6.25000000E-02  2.73437500E-01  4.31640625E-01  2.32421875E-01        2      35     221     476 |   0.00E+00  0.00E+00  2.93E+04  9.18E+01  4.80E+03  8.00E+00
  324131  1.45000000E+01  2.48278147E-05   5.32288654E-03  1.37317992E-03  2.40102088E-03  1.99631520E-03  7.59234354E-03  0.00000000E+00  7.85323693E+01  3.58256118E+00  2.06718326E-01  1.28290963E-05  1.19326153E+05  1.83443280E+05  4.75870744E-05  1.64200582E+00  2.82917204E+01  6.00468587E+00  3.02325595E-01  3.94373374E-01  4.48252896E+01  8.61035240E+05  5.49518351E-01 -3.24489932E-02 -4.03730269E-02   0.00000000E+00  2.42187500E-01  4.31640625E-01  3.26171875E-01        0      31     221     668 |   0.00E+00  0.00E+00  3.57E+04  1.15E+02  8.31E+03  1.27E+01
