it global_time dt rho m1 m2 e r_e test D v1 v2 p Trad Tgas Mdot OPAL CAK CAK2 lambda Edd Gamma Lum F1 F2 gradE c1 c2 c3 c4 n1 n2 n3 n4 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
   53042  1.00000000E+01  1.58295568E-04   3.00151260E-03  1.28858154E-03 -3.68402749E-05  1.54840414E-03  6.46584040E-03  0.00000000E+00  5.98584860E+01  3.93567734E+00  4.72931662E-03  5.88751483E-06  1.24874553E+05  1.24971704E+05  4.18399945E-05  1.66860980E+00  2.77913262E+01  4.94723374E+00  3.15694046E-01  3.65036084E-01  4.75711346E+01  1.00720608E+06  5.70558657E-01  1.09832045E-02 -1.70561746E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.09E+04  1.00E+01  1.93E+02  5.37E-01
   55336  1.05000000E+01  2.57433131E-04   4.19230890E-03  7.96018671E-04 -1.05479096E-04  7.97352363E-04  2.90268218E-03  0.00000000E+00  6.93927233E+01  3.04913148E+00  3.28408022E-02  8.70584893E-06  9.45915322E+04  9.46356866E+04  2.94557508E-05  1.57173468E+00  2.33655478E+01  5.38538833E+00  2.98336973E-01  4.00583624E-01  1.52840906E+01  4.03183336E+05  2.68558106E-01  1.36237462E-04 -2.43580439E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.70E+04  1.00E+01  9.20E+01  2.43E-01
   58327  1.10000000E+01  1.40570250E-04   4.40206970E-03  8.50204920E-04 -7.55028571E-05  6.55669481E-04  2.45097524E-03  0.00000000E+00  8.37810158E+01  2.58625175E+00 -4.56209693E-03  8.82779468E-06  9.28090345E+04  9.28361172E+04  2.57794043E-05  1.53472983E+00  2.07544655E+01  4.48704919E+00  2.96370861E-01  4.05486320E-01  1.51748116E+01  4.20726144E+05  2.41502030E-01 -5.31942551E-03 -2.31046591E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  3.06E+04  1.00E+01  1.49E+02  3.72E-01
   62275  1.15000000E+01  1.36464089E-04   2.98889483E-03  1.54530786E-03 -2.59742466E-05  1.58508220E-03  8.03276317E-03  0.00000000E+00  6.97915299E+01  3.66361935E+00 -1.76186122E-02  6.60443538E-06  1.25880760E+05  1.25877556E+05  3.47996498E-05  1.59564829E+00  2.26471508E+01  3.82494959E+00  3.01238385E-01  3.94815794E-01  4.60830122E+01  1.25498708E+06  7.12577843E-01 -3.02634540E-02 -2.52492554E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.26E+04  1.00E+01  2.07E+02  4.90E-01
   65885  1.20000000E+01  2.41123628E-04   3.71752134E-03  9.96551555E-04 -3.35765739E-05  8.97387821E-04  2.52509059E-03  0.00000000E+00  9.17552108E+01  3.93490193E+00 -1.86563872E-02  6.88547256E-06  9.35755863E+04  9.36301450E+04  2.99013515E-05  1.49437089E+00  2.75043836E+01  6.27124201E+00  2.99265572E-01  3.98475058E-01  2.18433024E+01  4.41320755E+05  2.41149936E-01  7.14166148E-03 -1.87114991E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  1.62E+04  1.00E+01  1.64E+02  3.65E-01
   68088  1.25000000E+01  2.61110874E-04   4.96978432E-03  5.96830283E-04 -6.72277048E-05  4.96831425E-04  2.16322725E-03  0.00000000E+00  8.69477280E+01  2.77974708E+00 -5.01072860E-03  9.87086558E-06  8.57230508E+04  8.58384701E+04  2.01342903E-05  1.49111895E+00  2.46561622E+01  6.08440677E+00  2.84525929E-01  4.30484850E-01  1.26951659E+01  2.91303955E+05  1.71062932E-01  1.07658610E-03 -2.37263037E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  1.94E+04  1.00E+01  1.26E+02  2.63E-01
   70092  1.30000000E+01  2.56348522E-04   5.26092652E-03  5.69587353E-04 -9.12741520E-05  4.22669678E-04  3.94049994E-03  0.00000000E+00  8.31931922E+01  2.29474343E+00  1.61755402E-02  1.18480713E-05  9.90408714E+04  9.90816156E+04  1.80083998E-05  1.54795665E+00  2.05480670E+01  4.35970919E+00  2.90459933E-01  4.17283997E-01  1.87749817E+01  5.82332088E+05  4.19312562E-01  1.06155668E-02 -3.05562673E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  3.35E+04  1.00E+01  7.46E+01  1.45E-01
   73596  1.35000000E+01  2.12804308E-04   3.15735195E-03  1.47807625E-03 -7.77635584E-05  1.35153733E-03  5.14455935E-03  0.00000000E+00  6.56980677E+01  3.39792831E+00  2.37355458E-03  6.10997616E-06  1.13185862E+05  1.13846154E+05  3.47937558E-05  1.63876461E+00  2.23039630E+01  4.19926488E+00  3.03591191E-01  3.90470389E-01  2.73238303E+01  7.25171646E+05  3.86162314E-01 -6.57867440E-03 -1.73283883E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  3.03E+04  1.00E+01  9.92E+01  1.79E-01
   76221  1.40000000E+01  2.09656899E-04   4.48845220E-03  9.29276977E-04  6.06257146E-06  8.01041382E-04  2.66815596E-03  0.00000000E+00  6.43266414E+01  2.99682320E+00 -9.61496441E-03  8.99425364E-06  9.43135872E+04  9.43441988E+04  3.00897471E-05  1.54952811E+00  2.28550539E+01  4.79328095E+00  2.95144761E-01  4.07678133E-01  1.53113039E+01  3.99962830E+05  2.44748777E-01  3.46182719E-04 -2.28152189E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.60E+04  1.00E+01  1.18E+02  1.96E-01
   78541  1.45000000E+01  1.99453703E-04   4.27897874E-03  8.05941831E-04 -2.88625642E-05  7.75085164E-04  3.65575354E-03  0.00000000E+00  6.58085451E+01  2.93613825E+00 -1.50375931E-02  8.62264581E-06  1.04274938E+05  1.04255662E+05  2.77193858E-05  1.60431057E+00  2.29981175E+01  4.29433316E+00  3.04611804E-01  3.87512759E-01  2.36597828E+01  6.01989699E+05  3.45264578E-01 -3.61848222E-03 -2.26325603E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.59E+04  1.00E+01  1.24E+02  1.89E-01
