it global_time dt rho m1 m2 e r_e test D v1 v2 p Trad Tgas Mdot OPAL CAK CAK2 lambda Edd Gamma Lum F1 F2 gradE c1 c2 c3 c4 n1 n2 n3 n4 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
  123145  1.00000000E+01  4.60928608E-05   4.84600708E-03  1.18170310E-03 -1.18472821E-03  1.17125438E-03  3.86656244E-03  0.00000000E+00  7.03412488E+01  3.43218556E+00 -1.74638384E-01  9.38293719E-06  1.00638445E+05  1.00649308E+05  3.99885109E-05  1.55955829E+00  2.79202004E+01  6.15889939E+00  2.93590925E-01  4.11683265E-01  2.45301669E+01  4.95724841E+05  3.34936182E-01 -2.08464941E-02 -2.47324770E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  2.83E+04  4.22E+01  2.07E+03  5.75E+00
  132184  1.05000000E+01  5.58485867E-05   5.38119520E-03  8.71666484E-04 -1.26580077E-03  8.57820422E-04  5.07811439E-03  0.00000000E+00  1.04837576E+02  3.20986399E+00 -1.46594820E-01  1.15173087E-05  1.02881070E+05  1.02934227E+05  3.05975977E-05  1.48217998E+00  2.70259981E+01  5.75149907E+00  2.98236265E-01  4.00894909E-01  2.94583939E+01  6.18381500E+05  4.22428634E-01  1.67728167E-02 -2.75955114E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.42E+04  4.22E+01  1.42E+03  3.74E+00
  138851  1.10000000E+01  1.25012955E-04   4.61712038E-03  8.66827418E-04 -9.73863466E-04  8.52269169E-04  3.38731672E-03  0.00000000E+00  9.29049204E+01  2.81599306E+00 -1.32258945E-01  8.05790851E-06  9.90501767E+04  9.90982083E+04  2.87399901E-05  1.56390530E+00  2.61946368E+01  6.28761991E+00  2.97215172E-01  4.04416936E-01  2.56958780E+01  4.83813822E+05  2.39853208E-01 -4.39356682E-03 -1.64585357E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  2.99E+04  4.22E+01  7.23E+02  1.81E+00
  147806  1.15000000E+01  7.03666652E-05   3.71864031E-03  1.28444670E-03 -8.07678386E-04  1.40212974E-03  7.57407444E-03  0.00000000E+00  7.09885961E+01  3.19344366E+00 -1.65213445E-01  7.42801646E-06  1.22416779E+05  1.22449422E+05  3.74049315E-05  1.58420064E+00  2.55047529E+01  5.17443320E+00  3.02854928E-01  3.92827649E-01  4.42965243E+01  9.49646138E+05  5.44709674E-01  1.45753420E-03 -1.95864435E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  2.95E+04  4.22E+01  1.30E+03  3.07E+00
  154083  1.20000000E+01  6.81649705E-05   4.18593834E-03  1.38480924E-03 -1.20114544E-03  1.51210792E-03  9.55576967E-03  0.00000000E+00  6.76593261E+01  3.38429422E+00 -1.58171364E-01  9.63238393E-06  1.27276538E+05  1.27288644E+05  4.02613471E-05  1.56167303E+00  2.40806089E+01  4.82946665E+00  3.03526195E-01  3.90346970E-01  4.85062124E+01  1.19910693E+06  8.08199964E-01  1.09840228E-02 -3.12077416E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  2.99E+04  4.22E+01  1.33E+03  2.95E+00
  162087  1.25000000E+01  8.08651803E-05   4.89671864E-03  1.26914284E-03 -2.56733145E-03  2.01812923E-03  2.78579791E-03  0.00000000E+00  7.79989248E+01  3.16950273E+00 -8.56059532E-02  8.98081533E-06  9.28445906E+04  9.28636642E+04  3.73548693E-05  1.52454036E+00  2.15802140E+01  5.02470122E+00  2.96191378E-01  4.06593730E-01  1.75190226E+01  4.19525599E+05  2.68541646E-01  2.00574863E-02 -1.77414694E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.19E+04  4.22E+01  1.05E+03  2.18E+00
  168671  1.30000000E+01  5.55625960E-05   5.33539652E-03  1.25242538E-03 -2.31810178E-03  1.38643108E-03  5.98318809E-03  0.00000000E+00  8.70703233E+01  2.76120280E+00 -6.78127926E-02  1.15833403E-05  1.10838579E+05  1.10853607E+05  3.19286614E-05  1.54236383E+00  2.28557713E+01  4.24133271E+00  2.96381580E-01  4.05464778E-01  3.73159619E+01  8.67282034E+05  5.39089051E-01  6.96705244E-02 -2.60865813E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.43E+04  4.22E+01  1.42E+03  2.76E+00
  175962  1.35000000E+01  1.16804058E-04   5.82512932E-03  9.26187694E-04 -2.78571465E-03  1.65379696E-03  3.51951876E-03  0.00000000E+00  9.68499156E+01  2.93377599E+00 -9.25160626E-02  1.13365443E-05  9.71781131E+04  9.71861437E+04  2.73319774E-05  1.53324684E+00  2.56199331E+01  6.01885190E+00  2.79876135E-01  4.42125755E-01  2.30053456E+01  4.33551723E+05  2.03305153E-01  6.85878028E-03 -1.88459878E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.22E+04  4.22E+01  7.19E+02  1.30E+00
  182252  1.40000000E+01  8.29753065E-05   5.08290904E-03  9.55804376E-04 -2.04469992E-03  1.17500888E-03  2.70843460E-03  0.00000000E+00  8.52168431E+01  2.59211341E+00 -6.34618744E-02  9.16152033E-06  8.97571421E+04  8.97638044E+04  2.85595506E-05  1.50644241E+00  2.73922675E+01  7.00172835E+00  2.94556488E-01  4.09849356E-01  1.74029526E+01  3.61959590E+05  2.66684417E-01  1.23019337E-02 -1.46647745E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  2.85E+04  4.22E+01  1.14E+03  1.90E+00
  189027  1.45000000E+01  7.93626788E-05   4.82122126E-03  8.87513898E-04 -1.70272743E-03  1.05130692E-03  5.36873381E-03  0.00000000E+00  1.01121893E+02  2.85807446E+00 -4.67403464E-02  1.03470464E-05  1.06327526E+05  1.06344649E+05  2.95663081E-05  1.52378042E+00  2.78850465E+01  6.48645099E+00  2.92960068E-01  4.13352730E-01  3.52464060E+01  7.34936452E+05  5.31277109E-01  4.63225937E-02 -2.75505752E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.30E+04  4.22E+01  1.03E+03  1.58E+00
